,n_req,timestamp,stations,StationName,MeanTemp,MinTemp,MaxTemp,DewPoint,Percipitation,WindSpeed,MaxSustainedWind,Gust,Rain,SnowDepth,SnowIce
0,112,2010-01-01,3,BERGEN POINT,35.6,33.3,41.2,40.13438489176157,0.0,2.5,7.0,12.719676386140025,0,0.0,0
1,167,2010-01-01,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,35.1,30.2,41.0,31.6,0.29,2.4,8.0,13.867447058135527,1,0.0,1
2,85,2010-01-01,25,KINGS POINT,34.5,32.2,37.9,40.13438489176157,0.0,1.4,2.9,7.8404823258759375,0,0.0,0
3,983,2010-01-01,26,LA GUARDIA AIRPORT,35.1,30.2,39.0,31.5,0.23,2.8,8.0,13.91336343034282,1,1.2,1
4,303,2010-01-01,39,NYC CENTRAL PARK,35.9,33.1,39.9,32.0,0.25,2.3,6.0,11.537468434989055,1,0.0,1
52,131,2010-01-02,25,KINGS POINT,31.2,22.3,38.7,40.13438489176157,0.0,11.1,20.0,28.777125334212037,0,0.0,0
53,1365,2010-01-02,26,LA GUARDIA AIRPORT,29.2,19.9,39.0,20.5,0.01,16.8,26.0,35.0,1,0.0,1
54,361,2010-01-02,39,NYC CENTRAL PARK,28.8,19.0,39.9,18.2,0.01,9.5,15.9,27.0,0,0.0,1
51,209,2010-01-02,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,30.5,21.0,41.0,19.7,0.01,17.4,28.0,35.0,1,0.0,1
50,134,2010-01-02,3,BERGEN POINT,31.6,24.1,39.6,40.13438489176157,0.0,11.7,21.0,30.005249657570296,0,0.0,0
103,221,2010-01-03,3,BERGEN POINT,20.9,18.5,23.7,40.13438489176157,0.0,15.6,23.9,33.814758605228626,0,0.0,0
104,408,2010-01-03,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,19.8,17.1,33.1,4.8,0.0,22.8,28.9,41.0,0,0.0,1
105,164,2010-01-03,25,KINGS POINT,20.4,18.7,22.5,40.13438489176157,0.0,17.9,22.9,32.91952798037323,0,0.0,0
106,2017,2010-01-03,26,LA GUARDIA AIRPORT,19.7,17.1,32.0,8.2,0.0,22.5,28.0,36.9,0,0.0,1
107,532,2010-01-03,39,NYC CENTRAL PARK,18.8,17.1,21.9,5.4,0.02,12.5,18.1,29.9,0,0.0,1
156,322,2010-01-04,3,BERGEN POINT,23.8,20.5,30.7,40.13438489176157,0.0,12.0,16.9,25.28676290003173,0,0.0,0
157,556,2010-01-04,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,24.1,18.0,32.0,8.3,0.0,16.6,25.1,33.0,0,0.0,0
158,228,2010-01-04,25,KINGS POINT,24.4,21.4,31.1,40.13438489176157,0.0,11.6,15.9,24.081596762777114,0,0.0,0
159,3001,2010-01-04,26,LA GUARDIA AIRPORT,24.2,18.0,30.9,11.6,0.0,17.5,22.9,33.0,0,0.0,0
160,831,2010-01-04,39,NYC CENTRAL PARK,23.0,19.0,30.0,9.1,0.0,9.7,15.9,22.9,0,0.0,0
210,688,2010-01-05,39,NYC CENTRAL PARK,24.4,19.9,30.0,11.3,0.0,8.4,11.1,21.0,0,0.0,0
206,356,2010-01-05,3,BERGEN POINT,25.2,21.6,30.9,40.13438489176157,0.0,9.5,13.0,20.478711490051587,0,0.0,0
207,572,2010-01-05,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,25.4,19.9,32.0,10.4,0.0,13.9,18.1,24.1,0,0.0,0
208,240,2010-01-05,25,KINGS POINT,25.4,22.1,30.4,40.13438489176157,0.0,10.0,14.0,21.695356720358028,0,0.0,0
209,2484,2010-01-05,26,LA GUARDIA AIRPORT,25.4,21.0,30.9,12.8,0.0,14.3,19.0,25.1,0,0.0,0
259,246,2010-01-06,3,BERGEN POINT,29.3,27.3,34.2,40.13438489176157,0.0,11.3,19.0,27.640833755268353,0,0.0,0
262,2068,2010-01-06,26,LA GUARDIA AIRPORT,29.2,21.9,34.0,15.5,0.0,15.4,19.0,24.1,0,0.0,0
261,290,2010-01-06,25,KINGS POINT,29.0,26.8,33.8,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
263,585,2010-01-06,39,NYC CENTRAL PARK,28.4,26.1,34.0,13.8,0.0,8.4,14.0,22.9,0,0.0,1
260,444,2010-01-06,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,29.4,21.0,36.0,12.8,0.0,15.2,20.0,26.0,0,0.0,0
312,310,2010-01-07,3,BERGEN POINT,33.0,30.7,38.1,40.13438489176157,0.0,10.6,19.0,27.560480103905594,0,0.0,0
313,401,2010-01-07,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,32.7,27.0,39.9,19.5,0.0,14.1,22.0,27.0,0,0.0,0
314,253,2010-01-07,25,KINGS POINT,32.6,29.3,37.8,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
315,1902,2010-01-07,26,LA GUARDIA AIRPORT,32.7,27.0,37.9,21.2,0.0,14.1,20.0,26.0,0,0.0,0
316,565,2010-01-07,39,NYC CENTRAL PARK,32.1,28.4,37.0,20.6,0.0,8.6,14.0,22.9,0,0.0,0
369,538,2010-01-08,39,NYC CENTRAL PARK,31.2,26.1,34.0,22.7,0.03,5.4,15.9,26.0,0,0.0,1
368,1774,2010-01-08,26,LA GUARDIA AIRPORT,32.3,28.0,37.9,23.4,0.0,8.7,24.1,28.0,0,0.0,1
367,211,2010-01-08,25,KINGS POINT,32.1,29.5,34.9,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
365,219,2010-01-08,3,BERGEN POINT,31.1,28.6,35.4,40.13438489176157,0.0,5.2,16.9,24.506184572507767,0,0.0,0
366,369,2010-01-08,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,31.1,27.0,39.9,23.2,0.0,9.3,22.9,28.9,0,0.0,1
423,401,2010-01-09,39,NYC CENTRAL PARK,24.0,19.9,30.0,7.2,0.05,8.7,14.0,25.1,0,0.0,0
422,1371,2010-01-09,26,LA GUARDIA AIRPORT,25.2,21.0,34.0,9.7,0.03,13.7,18.1,27.0,0,0.0,0
419,170,2010-01-09,3,BERGEN POINT,25.4,21.7,30.2,40.13438489176157,0.0,12.4,16.9,25.332679272239016,0,0.0,0
420,291,2010-01-09,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,24.8,19.9,33.1,6.7,0.03,15.7,22.9,33.0,0,0.0,0
421,121,2010-01-09,25,KINGS POINT,25.1,21.2,30.7,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
474,288,2010-01-10,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,21.5,14.0,32.0,-0.9,0.0,11.2,14.0,21.8331058369799,0,0.0,0
477,532,2010-01-10,39,NYC CENTRAL PARK,20.4,14.0,28.0,0.4,0.0,6.1,11.1,15.0,0,0.0,0
476,1587,2010-01-10,26,LA GUARDIA AIRPORT,21.7,15.1,30.9,2.6,0.0,10.7,14.0,18.1,0,0.0,0
475,117,2010-01-10,25,KINGS POINT,21.8,15.8,28.6,40.13438489176157,0.0,5.7,12.0,18.883256189034988,0,0.0,0
473,166,2010-01-10,3,BERGEN POINT,22.0,16.2,29.8,40.13438489176157,0.0,9.7,14.0,21.66091944120256,0,0.0,0
527,344,2010-01-11,3,BERGEN POINT,25.0,20.1,30.9,40.13438489176157,0.0,4.4,8.9,15.14035370771458,0,0.0,0
528,455,2010-01-11,24,JOHN F KENNEDY INTERNATIONAL AIRPORT,26.3,14.0,32.0,7.5,0.0,9.5,12.0,19.31946172500426,0,0.0,0
