,n_req,timestamp,stations
0,112,2010-01-01,3
1,11,2010-01-01,8
2,167,2010-01-01,24
3,85,2010-01-01,25
4,983,2010-01-01,26
5,87,2010-01-01,34
6,137,2010-01-01,35
7,303,2010-01-01,39
8,896,2010-01-01,47
9,34,2010-01-01,55
10,170,2011-01-01,3
11,8,2011-01-01,8
12,233,2011-01-01,24
13,107,2011-01-01,25
14,969,2011-01-01,26
15,62,2011-01-01,34
16,112,2011-01-01,35
17,243,2011-01-01,39
18,887,2011-01-01,47
19,48,2011-01-01,55
20,70,2012-01-01,3
21,10,2012-01-01,8
22,171,2012-01-01,24
23,72,2012-01-01,25
24,819,2012-01-01,26
25,73,2012-01-01,34
26,133,2012-01-01,35
27,267,2012-01-01,39
28,700,2012-01-01,47
29,24,2012-01-01,55
30,89,2013-01-01,3
31,13,2013-01-01,8
32,268,2013-01-01,24
33,100,2013-01-01,25
34,1090,2013-01-01,26
35,93,2013-01-01,34
36,157,2013-01-01,35
37,373,2013-01-01,39
38,986,2013-01-01,47
39,54,2013-01-01,55
40,92,2014-01-01,3
41,14,2014-01-01,8
42,262,2014-01-01,24
43,120,2014-01-01,25
44,1325,2014-01-01,26
45,122,2014-01-01,34
46,152,2014-01-01,35
47,412,2014-01-01,39
48,1160,2014-01-01,47
49,49,2014-01-01,55
50,108,2015-01-01,3
51,20,2015-01-01,8
52,262,2015-01-01,24
53,112,2015-01-01,25
54,1436,2015-01-01,26
55,168,2015-01-01,34
56,180,2015-01-01,35
57,561,2015-01-01,39
58,1166,2015-01-01,47
59,58,2015-01-01,55
60,122,2016-01-01,3
61,20,2016-01-01,8
62,295,2016-01-01,24
63,147,2016-01-01,25
64,1495,2016-01-01,26
65,146,2016-01-01,34
66,230,2016-01-01,35
67,454,2016-01-01,39
68,1188,2016-01-01,47
69,80,2016-01-01,55
70,179,2017-01-01,3
71,18,2017-01-01,8
72,311,2017-01-01,24
73,170,2017-01-01,25
74,1421,2017-01-01,26
75,162,2017-01-01,34
76,191,2017-01-01,35
77,425,2017-01-01,39
78,1206,2017-01-01,47
79,70,2017-01-01,55
80,323,2018-01-01,3
81,41,2018-01-01,8
82,543,2018-01-01,24
83,259,2018-01-01,25
84,3454,2018-01-01,26
85,277,2018-01-01,34
86,396,2018-01-01,35
87,1172,2018-01-01,39
88,2562,2018-01-01,47
89,180,2018-01-01,55
90,248,2019-01-01,3
91,22,2019-01-01,8
92,369,2019-01-01,24
93,279,2019-01-01,25
94,1677,2019-01-01,26
95,144,2019-01-01,34
96,190,2019-01-01,35
97,428,2019-01-01,39
98,1483,2019-01-01,47
99,90,2019-01-01,55
100,134,2010-01-02,3
101,22,2010-01-02,8
102,209,2010-01-02,24
103,131,2010-01-02,25
104,1365,2010-01-02,26
105,100,2010-01-02,34
106,203,2010-01-02,35
107,361,2010-01-02,39
108,1172,2010-01-02,47
109,48,2010-01-02,55
110,145,2011-01-02,3
111,11,2011-01-02,8
112,229,2011-01-02,24
113,99,2011-01-02,25
114,949,2011-01-02,26
115,91,2011-01-02,34
116,108,2011-01-02,35
117,297,2011-01-02,39
118,987,2011-01-02,47
119,45,2011-01-02,55
120,113,2012-01-02,3
121,8,2012-01-02,8
122,259,2012-01-02,24
123,96,2012-01-02,25
124,1351,2012-01-02,26
125,146,2012-01-02,34
126,150,2012-01-02,35
127,308,2012-01-02,39
128,1090,2012-01-02,47
129,35,2012-01-02,55
130,243,2013-01-02,3
131,29,2013-01-02,8
132,450,2013-01-02,24
133,277,2013-01-02,25
134,2067,2013-01-02,26
135,167,2013-01-02,34
136,294,2013-01-02,35
137,676,2013-01-02,39
138,2051,2013-01-02,47
139,124,2013-01-02,55
140,174,2014-01-02,3
141,19,2014-01-02,8
142,438,2014-01-02,24
143,156,2014-01-02,25
144,1958,2014-01-02,26
145,183,2014-01-02,34
146,217,2014-01-02,35
147,545,2014-01-02,39
148,1822,2014-01-02,47
149,82,2014-01-02,55
150,183,2015-01-02,3
151,43,2015-01-02,8
152,307,2015-01-02,24
153,195,2015-01-02,25
154,1674,2015-01-02,26
155,194,2015-01-02,34
156,242,2015-01-02,35
157,430,2015-01-02,39
158,1508,2015-01-02,47
159,66,2015-01-02,55
160,160,2016-01-02,3
161,29,2016-01-02,8
162,266,2016-01-02,24
163,142,2016-01-02,25
164,1537,2016-01-02,26
165,194,2016-01-02,34
166,229,2016-01-02,35
167,468,2016-01-02,39
168,1308,2016-01-02,47
